id,symbol,calculation_date,weight,cfo_index,sector
1,NVDA,2026-03-05,0.023272288397964004,0.9988738738738738,Information Technology
2,GE,2026-03-05,0.022590124363750855,0.9695945945945946,Industrials
3,LLY,2026-03-05,0.022301516503122214,0.9572072072072072,Health Care
4,META,2026-03-05,0.02206538279897151,0.947072072072072,Communication Services
5,TMUS,2026-03-05,0.021829249094820802,0.9369369369369369,Communication Services
6,AMD,2026-03-05,0.021803012016581833,0.9358108108108107,Information Technology
7,GOOG,2026-03-05,0.02171118224274545,0.9318693693693694,Communication Services
8,GOOGL,2026-03-05,0.021684945164506482,0.9307432432432432,Communication Services
9,NFLX,2026-03-05,0.02148816707771423,0.9222972972972974,Communication Services
10,CRM,2026-03-05,0.02146192999947526,0.9211711711711712,Information Technology
11,DIS,2026-03-05,0.021330744608280425,0.9155405405405406,Communication Services
12,WELL,2026-03-05,0.021225796295324558,0.9110360360360361,Real Estate
13,AVGO,2026-03-05,0.02117332213884662,0.9087837837837838,Information Technology
14,NOW,2026-03-05,0.020674817652306242,0.8873873873873874,Information Technology
15,ANET,2026-03-05,0.020622343495828307,0.8851351351351351,Information Technology
16,MO,2026-03-05,0.0204649210263945,0.8783783783783783,Consumer Staples
17,ORCL,2026-03-05,0.020438683948155536,0.8772522522522522,Information Technology
18,CMCSA,2026-03-05,0.020228787322243796,0.8682432432432432,Communication Services
19,APH,2026-03-05,0.02020255024400483,0.8671171171171171,Information Technology
20,BSX,2026-03-05,0.02017631316576586,0.865990990990991,Health Care
21,PH,2026-03-05,0.02012383900928793,0.8637387387387387,Industrials
22,ISRG,2026-03-05,0.02009760193104896,0.8626126126126126,Health Care
23,MCK,2026-03-05,0.01999265361809309,0.8581081081081081,Health Care
24,PGR,2026-03-05,0.019940179461615158,0.8558558558558559,Financials
25,HWM,2026-03-05,0.019861468226898254,0.8524774774774775,Industrials
26,JPM,2026-03-05,0.01970404575746445,0.8457207207207207,Financials
27,IBKR,2026-03-05,0.01962533452274755,0.8423423423423424,Financials
28,GILD,2026-03-05,0.019572860366269613,0.8400900900900901,Health Care
29,MA,2026-03-05,0.019520386209791678,0.8378378378378378,Financials
30,LIN,2026-03-05,0.019494149131552712,0.8367117117117118,Materials
31,JNJ,2026-03-05,0.019467912053313746,0.8355855855855856,Health Care
32,MSFT,2026-03-05,0.01931048958387994,0.8288288288288288,Information Technology
33,WMT,2026-03-05,0.019284252505640972,0.8277027027027026,Consumer Staples
34,NEE,2026-03-05,0.01923177834916304,0.8254504504504505,Utilities
35,WFC,2026-03-05,0.01923177834916304,0.8254504504504505,Financials
36,MS,2026-03-05,0.019100592957968204,0.8198198198198199,Financials
37,ICE,2026-03-05,0.0190218817232513,0.8164414414414414,Financials
38,COST,2026-03-05,0.0189431704885344,0.8130630630630631,Consumer Staples
39,ETN,2026-03-05,0.018785748019100594,0.8063063063063063,Industrials
40,INTU,2026-03-05,0.018785748019100594,0.8063063063063063,Information Technology
41,BKNG,2026-03-05,0.01873327386262266,0.8040540540540541,Consumer Discretionary
42,V,2026-03-05,0.018654562627905758,0.8006756756756757,Financials
43,KO,2026-03-05,0.018523377236710922,0.795045045045045,Consumer Staples
44,AXP,2026-03-05,0.018497140158471953,0.7939189189189189,Financials
45,EQIX,2026-03-05,0.018392191845516086,0.7894144144144144,Real Estate
46,JCI,2026-03-05,0.018313480610799186,0.7860360360360361,Industrials
47,TJX,2026-03-05,0.018313480610799182,0.786036036036036,Consumer Discretionary
48,MPWR,2026-03-05,0.018261006454321247,0.7837837837837838,Information Technology
49,VLO,2026-03-05,0.018261006454321247,0.7837837837837838,Energy
50,DLR,2026-03-05,0.018208532297843312,0.7815315315315314,Real Estate
